,2024,,,2023,,,2022,,,2021,,,2020,,,2019,,,2018,,,2017,,,2016,,,2015,,,2014,,,2013,,,2012,,,2011,,,2010,,,2009,,,2008,,,2007,,,2006,,,2005,,,2004,,,2003,,,2002,,,2001,,,2000,,,1999,,,1998,,,1997,,,1996,,,1995,,,1994,,,1993,,,1992,,,1991,,,1990,,,1989,,,1988,,,1987,,,1986,,
,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC,OFL,ABC,TAC (TQ),OFL,ABC,TAC (DAH)
WGOA,n/a,"4,699","4,699",n/a,"4,473","4,473",n/a,"3,727","3,727",n/a,"3,224","2,428",n/a,"2,278","1,942",n/a,"1,581","1,581",n/a,"1,544","1,544",n/a,"1,349","1,349",n/a,"1,272","1,272",n/a,"1,474","1,474",n/a,"1,480","1,480",n/a,"1,750","1,750",n/a,"1,780","1,780",n/a,"1,620","1,620",n/a,"1,660","1,660",n/a,"1,640","1,640",n/a,"1,890","1,890",n/a,"2,470","2,470",n/a,"2,670","2,670",n/a,"2,540","2,540",n/a,"2,930","2,930",n/a,"2,570","2,570",n/a,"2,240","2,240",n/a,"2,010","2,010",n/a,"1,840","1,840",n/a,"1,820","1,820",n/a,"1,840","1,840",n/a,"1,860","1,860",n/a,"2,200","2,200",n/a,"2,600","2,600",n/a,"2,290","2,290",n/a,"2,030","2,030",n/a,"2,500","2,500",n/a,"2,925","2,925",n/a,"3,800","3,770",n/a,"4,900","3,770",n/a,"5,075","4,060",n/a,UN,"3,000",n/a,UN,"1,670"
CGOA,n/a,"9,651","9,651",n/a,"9,921","9,921",n/a,"9,965","9,965",n/a,"9,527","8,056",n/a,"7,560","6,445",n/a,"5,178","5,178",n/a,"5,158","5,158",n/a,"4,514","4,514",n/a,"4,023","4,023",n/a,"4,658","4,658",n/a,"4,681","4,681",n/a,"5,540","5,540",n/a,"5,760","5,760",n/a,"4,740","4,740",n/a,"4,510","4,510",n/a,"4,990","4,990",n/a,"5,500","5,500",n/a,"6,190","6,190",n/a,"6,370","6,370",n/a,"7,250","7,250",n/a,"7,300","7,300",n/a,"6,440","6,440",n/a,"5,430","5,430",n/a,"5,410","5,410",n/a,"5,730","5,730",n/a,"5,590","5,590",n/a,"6,320","6,320",n/a,"6,410","6,410",n/a,"6,900","6,900",n/a,"8,600","8,600",n/a,"11,220","11,220",n/a,"9,610","9,610",n/a,"9,570","9,570",n/a,"10,575","10,575",n/a,"11,800","11,700",n/a,"13,900","11,700",n/a,"15,680","12,540",n/a,UN,"8,800",n/a,UN,"3,060"
WYK  ,n/a,"2,926","2,926",n/a,"3,205","3,205",n/a,"3,437","3,437",n/a,"3,451","2,929",n/a,"2,521","2,343",n/a,"1,828","1,828",n/a,"1,829","1,829",n/a,"1,605","1,605",n/a,"1,475","1,475",n/a,"1,708","1,708",n/a,"1,716","1,716",n/a,"2,030","2,030",n/a,"2,247","2,247",n/a,"1,990","1,990",n/a,"1,620","1,620",n/a,"1,784","1,784",n/a,"1,950","1,950",n/a,"2,280","2,280",n/a,"2,280","2,280",n/a,"2,580","2,580",n/a,"2,550","2,550",n/a,"2,320","2,320",n/a,"1,940","1,940",n/a,"2,060","2,060",n/a,"2,207","2,207",n/a,n/a,"2,090",n/a,n/a,"2,175",n/a,"2,410","2,410",n/a,"3,040","3,040",n/a,"4,100","4,100",n/a,"4,850","4,850",n/a,"3,830","3,830",n/a,"3,740","3,740",n/a,"4,050","4,050",n/a,"4,600","4,550",n/a,"5,300","4,550",n/a,"6,125","4,900",n/a,UN,"4,000",n/a,UN,"1,680"
SEO  ,n/a,"5,320","5,320",n/a,"5,602","5,602",n/a,"5,665","5,665",n/a,"5,273","4,579",n/a,"4,524","3,663",n/a,"2,984","2,984",n/a,"2,974","2,974",n/a,"2,606","2,606",n/a,"2,317","2,317",n/a,"2,682","2,682",n/a,"2,695","2,695",n/a,"3,190","3,190",n/a,"3,173","3,173",n/a,"2,940","2,940",n/a,"2,580","2,580",n/a,"2,746","2,746",n/a,"3,390","3,390",n/a,"3,370","3,370",n/a,"3,520","3,520",n/a,"3,570","3,570",n/a,"3,770","3,770",n/a,"3,560","3,560",n/a,"3,210","3,210",n/a,"3,360","3,360",n/a,"3,553","3,553",n/a,n/a,"3,200",n/a,n/a,"3,487",n/a,"3,840","3,840",n/a,"4,940","4,940",n/a,"6,200","6,200",n/a,"7,140","7,140",n/a,"5,430","5,430",n/a,"4,990","4,990",,,,,,,,,,,,,,,,n/a,UN,"470-1,435"
EGOA,n/a,8246,8246,n/a,"8,807","8,807",n/a,"9,102","9,102",n/a,"8,724","7,508",n/a,"7,045","6,006",n/a,"4,812","4,812",n/a,"4,803","4,803",n/a,"4,211","4,211",n/a,"3,792","3,792",n/a,"4,390","4,390",n/a,"4,411","4,411",n/a,"5,220","5,220",n/a,"5,420","5,420",n/a,"4,930","4,930",n/a,"4,200","4,200",n/a,"4,530","4,530",n/a,"5,340","5,340",n/a,"5,650","5,650",n/a,"5,800","5,800",n/a,"6,150","6,150",n/a,"6,320","6,320",n/a,"5,880","5,880",n/a,"5,150","5,150",n/a,"5,420","5,420",n/a,"5,760","5,760",n/a,"5,290","5,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"55,084**","47,146","22,596","47,390***","23,201","23,201","40,432***","22,794","22,794","60,426***","21,475","17,991","50,481***","16,883","14,393","25,227","11,571","11,571","22,703","11,505","11,505","11,885","10,074","10,074","10,326","9,087","9,087","12,425","10,522","10,522","12,500","10,572","10,572","14,780","12,510","12,510","15,330","12,960","12,960","13,340","11,290","11,290","12,270","10,370","10,370","13,190","11,160","11,160","15,040","12,730","12,730","16,906","14,310","14,310","17,880","14,840","14,840","19,280","15,940","15,940","22,160","16,550","16,550","20,020","14,890","14,890","19,350","12,820","12,820","15,720","12,840","12,840","16,660","13,330","13,330","19,720","12,700","12,700","23,450","14,120","14,120","39,950","14,520","14,520","22,800","17,080","17,080","25,730","21,500","21,500","31,700","25,500","25,500","27,750","20,900","20,900","28,200","20,800","20,800",n/a,"22,500","22,500",n/a,"26,200","26,000",n/a,"30,900","26,000",n/a,"35,000","28,000",n/a,UN,"20,000",n/a,UN,"7,730-8,980"
BS,n/a,"11,450","7,996",n/a,"8,417","7,996",n/a,"5,264","5,264",n/a,"3,396","3,396",n/a,"2,174","1,861","3,221","1,489","1,489","2,887","1,464","1,464","1,499","1,274","1,274","1,304","1,151","1,151","1,575","1,333","1,333","1,584","1,339","1,339","1,870","1,580","1,580","2,640","2,230","2,230","3,360","2,850","2,850","3,310","2,790","2,790","3,210","2,720","2,720","3,380","2,860","2,860","3,520","2,980","2,980","3,680","3,060","2,820","2,950","2,440","2,440","4,020","3,000","2,900","4,290","2,900","2,900","2,900","1,930","1,930","1,910","1,560","1,560","1,750","1,470","1,470","2,090","1,340","1,340","2,160","1,300","1,300","2,750","1,308","1,100",n/a,"1,200","1,100",n/a,"1,600","1,600",670,540,540,"2,000","1,500","1,500","1,840","1,400","1,400",n/a,"3,100","3,100",n/a,"2,700","2,700",n/a,"2,800","2,800",n/a,"3,400","3,400",n/a,UN,"3,700",n/a,UN,"2,250"
AI,n/a,"13,100","8,440",n/a,"8,884","8,440",n/a,"6,463","6,463",n/a,"4,717","4,717",n/a,"2,952","2,039","4,350","2,008","2,008","3,917","1,988","1,988","2,044","1,735","1,735","1,766","1,557","1,557","2,128","1,802","1,802","2,141","1,811","1,811","2,530","2,140","2,140","2,430","2,050","2,050","2,250","1,900","1,900","2,450","2,070","2,070","2,600","2,200","2,200","2,890","2,440","2,440","3,320","2,810","2,810","3,740","3,100","3,000","3,170","2,620","2,620","4,620","3,450","3,100","4,590","3,100","3,100","3,850","2,550","2,550","3,070","2,500","2,500","3,090","2,430","2,430","2,890","1,860","1,380","2,230","1,380","1,380","2,860","1,367","1,200",n/a,"1,300","1,200",n/a,"2,200","2,200","3,490","2,800","2,800","3,500","2,600","2,600","4,030","3,000","3,000",n/a,"3,200","3,200",n/a,"4,500","4,500",n/a,"3,400","3,400",n/a,"5,800","5,000",n/a,UN,"4,000",n/a,UN,"4,200"
,0,"71,696","39,032",0,"40,502","39,637",0,"34,521","34,521",0,"29,588","26,104",0,"22,009","18,293","32,798","15,068","15,068","29,507","14,957","14,957","15,428","13,083","13,083","13,396","11,795","11,795","16,128","13,657","13,657","16,225","13,722","13,722","19,180","16,230","16,230","20,400","17,240","17,240","18,950","16,040","16,040","18,030","15,230","15,230","19,000","16,080","16,080","21,310","18,030","18,030","23,746","20,100","20,100","25,300","21,000","20,660","25,400","21,000","21,000","30,800","23,000","22,550","28,900","20,890","20,890","26,100","17,300","17,300","20,700","16,900","16,900","21,500","17,230","17,230","24,700","15,900","15,420","27,840","16,800","16,800","45,560","17,195","16,820","22,800","19,580","19,380","25,730","25,300","25,300","35,860","28,840","28,840","33,250","25,000","25,000","34,070","25,200","25,200",0,"28,800","28,800",0,"33,400","33,200",0,"37,100","32,200",0,"44,200","36,400",0,0,"27,700",0,0,"6,450"
